%time,field0,field1,field2,field3,field4,field5,,,left x,left y,left z,right x,right y ,right z
1422318506489320000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506489340000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506489360000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506489380000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506489400000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506489420000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506489440000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506489460000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506489480000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506489500000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506489520000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506489540000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506489560000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506489580000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506528660000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506528710000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506528740000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506528790000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506528810000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506528840000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506528860000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506528880000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506528900000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506528930000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506528950000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506528970000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529000000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529020000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529040000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529060000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529080000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506529170000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529190000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529220000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529240000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529260000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529280000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529310000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529330000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506529350000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529370000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529390000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529420000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529440000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529460000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529480000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529500000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
1422318506529530000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529550000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529570000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529590000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529610000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529640000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506529660000,-104340,8940,6932,-106107,-19963,-3106,,,,,,,,
1422318506568590000,-104340,8940,6932,-106107,-19964,-3106,,,,,,,,
