Min,0.031903112,1.005402652,0.000234244,0.136061441,4.215171821,0.001133119,0.052017347,0.745541557,2.72735E-05,0.01999024,0,0.000447453,0.020779561,0,0.000391412,0.022013012,0,0.000759865,0.023443246,0,0.000764702,0.441213863,0.471623897,1.22291464
Max,0.068489498,1.850086594,0.000502874,0.279893622,9.243790754,0.00231357,0.141239504,1.980826785,6.60499E-05,0.051533745,0,0.003553569,0.049322051,0,0.00291552,0.077251522,0,0.008301593,0.088367871,0,0.008313067,1.103395753,0.90535455,2.460616746
Average,0.044159717,1.257884083,0.000324236,0.170404796,5.439327995,0.00141681,0.089207541,1.320172076,4.32296E-05,0.032911924,0,0.001334039,0.03303035,0,0.001019796,0.041983133,0,0.002683171,0.043862221,0,0.002680943,0.72116685,0.614788284,1.511461764
Std,0.007333842,0.149798437,5.38477E-05,0.02715873,0.742262569,0.000222477,0.020025047,0.309020298,8.63832E-06,0.00686649,0,0.000428576,0.00581266,0,0.000323411,0.008102022,0,0.001041882,0.009413893,0,0.001040145,0.144254634,0.076738861,0.231185638
AVG-CI,0.020031376,0.765047225,0.000147077,0.081052573,2.997284142,0.000684861,0.023325138,0.303495294,1.48095E-05,0.01032117,0,-7.59753E-05,0.013906697,0,-4.42243E-05,0.015327482,0,-0.000744621,0.012890513,0,-0.000741133,0.246569102,0.362317432,0.750861013
AVG+CI,0.068288059,1.750720941,0.000501395,0.259757019,7.881371848,0.00214876,0.155089944,2.336848858,7.16497E-05,0.055502677,0,0.002744054,0.052154002,0,0.002083817,0.068638784,0,0.006110962,0.074833929,0,0.006103019,1.195764597,0.867259136,2.272062514
Num_Packets,err_mpos0,err_mvel0,err_jpos0,err_mpos1,err_mvel1,err_jpos1,err_mpos2,err_mvel2,err_jpos2,err_mpos4,err_mvel4,err_jpos4,err_mpos5,err_mvel5,err_jpos5,err_mpos6,err_mvel6,err_jpos6,err_mpos7,err_mvel7,err_jpos7,err_posX,err_posY,err_posZ
2997,0.036124385,1.112498559,0.000265239,0.157874798,5.288209384,0.001313196,0.095510151,1.47308702,4.63E-05,0.034777181,0,0.001244213,0.033664088,0,0.00089366,0.03870754,0,0.002333856,0.043662911,0,0.002328539,0.755595733,0.542924564,1.416709187
2997,0.038944155,1.128172847,0.000285941,0.165137669,5.410570815,0.001373506,0.10564281,1.566915374,5.02E-05,0.039104194,0,0.001566115,0.0378313,0,0.001217014,0.046744772,0,0.003138375,0.051290853,0,0.003134183,0.843253028,0.587152794,1.459158255
2996,0.03552534,1.118309249,0.000260839,0.153692086,5.239146022,0.001278594,0.095301769,1.456958697,4.58E-05,0.034556871,0,0.001179131,0.034259269,0,0.000960079,0.03885368,0,0.002127083,0.042172258,0,0.002123152,0.758885725,0.542702898,1.376505948
2996,0.035337288,1.100071225,0.000259459,0.146039665,4.965831136,0.001217907,0.096807016,1.490887428,4.64E-05,0.035414232,0,0.001254299,0.034155944,0,0.000887836,0.038710878,0,0.00232988,0.044130431,0,0.00232761,0.757374896,0.529023763,1.311726933
2991,0.03388085,1.086296312,0.000248765,0.151078724,4.997660608,0.001256913,0.081228235,1.333543081,3.96E-05,0.028435829,0,0.000676268,0.029248368,0,0.000577058,0.031753408,0,0.001193522,0.032229701,0,0.001195282,0.647720803,0.49969751,1.360889995
2996,0.035133439,1.109351771,0.000257961,0.144558554,4.938219274,0.001206118,0.088722947,1.439062307,4.26E-05,0.031574495,0,0.001024644,0.0313602,0,0.000753314,0.035826768,0,0.001771189,0.037108299,0,0.001763341,0.700879194,0.516598792,1.306786111
2994,0.034316122,1.043228785,0.000251961,0.157019647,5.19970934,0.001303052,0.074280035,1.114668552,3.70E-05,0.026208672,0,0.000707716,0.026871609,0,0.000574785,0.030712109,0,0.001186575,0.029955999,0,0.001184083,0.606571915,0.506197983,1.407311709
